,Hashtag,Count
1814,natural,3
3235,iamkratom,3
406,tylex,3
3225,regionalanesthesia,3
2125,serviciopublico,3
3210,reclassification,3
6630,aagl,3
7560,jhsgo,3
2705,visualarts,3
6631,jmig,3
6632,jmigpodcasts,3
6633,hysterectomy,3
2707,iamlove,3
6583,healing,3
2690,sciatic,3
1804,country,3
6990,seniorx,3
6992,octoberissue,3
3375,joinin247,3
7617,ativan,3
3366,adverse,3
383,37,3
2145,walgreens,3
3357,jhsph,3
3303,ohio,3
3347,dosage,3
589,rad,3
6984,debates2020,3
3326,allmycaringfriends,3
2680,digitalpharma,3
659,directory,3
6026,antipsychotic,3
7240,supporting,3
228,deals,3
771,happy,3
5884,chiropractor,3
5882,newpsychoactivesubstances,3
1296,corruption,3
220,urology,3
4272,controlledsubstances,3
4278,mindfulness,3
5713,euphoria,3
5319,veterinarians,3
